"Name","Live Bytes","Live Objects"
"byte[]","4,715,648 B (37.6%)","35,492 (19.7%)"
"int[]","1,865,784 B (14.9%)","3,721 (2.1%)"
"java.util.HashMap$Node","698,816 B (5.6%)","21,838 (12.1%)"
"java.lang.String","633,024 B (5.1%)","26,376 (14.6%)"
"jdk.internal.org.objectweb.asm.Item","430,024 B (3.4%)","7,679 (4.3%)"
"java.lang.Object[]","388,512 B (3.1%)","8,450 (4.7%)"
"java.util.HashMap$Node[]","355,312 B (2.8%)","1,560 (0.9%)"
"java.lang.Class","260,480 B (2.1%)","2,139 (1.2%)"
"char[]","224,816 B (1.8%)","562 (0.3%)"
"jdk.internal.org.objectweb.asm.Item[]","194,960 B (1.6%)","277 (0.2%)"
"java.lang.Class[]","147,984 B (1.2%)","5,366 (3%)"
"java.util.TreeMap$Entry","140,480 B (1.1%)","3,512 (1.9%)"
"java.util.concurrent.ConcurrentHashMap$Node","139,296 B (1.1%)","4,353 (2.4%)"
"java.lang.invoke.MethodType","123,040 B (1%)","3,076 (1.7%)"
"long[]","118,320 B (0.9%)","359 (0.2%)"
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry","117,696 B (0.9%)","3,678 (2%)"
"java.lang.reflect.Method","102,080 B (0.8%)","1,160 (0.6%)"
"java.lang.String[]","89,592 B (0.7%)","2,264 (1.3%)"
"java.lang.invoke.MemberName","83,664 B (0.7%)","1,743 (1%)"
"java.lang.StringBuilder","74,784 B (0.6%)","3,116 (1.7%)"
"java.util.LinkedHashMap$Entry","74,040 B (0.6%)","1,851 (1%)"
"jdk.internal.org.objectweb.asm.MethodWriter","73,920 B (0.6%)","330 (0.2%)"
"java.lang.invoke.LambdaForm$Name","65,248 B (0.5%)","2,039 (1.1%)"
"java.util.HashMap","61,488 B (0.5%)","1,281 (0.7%)"
"java.util.concurrent.ConcurrentHashMap$Node[]","48,256 B (0.4%)","124 (0.1%)"
"java.lang.invoke.LambdaForm$Name[]","45,376 B (0.4%)","720 (0.4%)"
"java.util.TreeMap","44,448 B (0.4%)","926 (0.5%)"
"java.nio.DirectByteBufferR","32,960 B (0.3%)","515 (0.3%)"
"jdk.internal.org.objectweb.asm.ClassWriter","31,680 B (0.3%)","180 (0.1%)"
"jdk.internal.org.objectweb.asm.Label","29,376 B (0.2%)","459 (0.3%)"
"java.util.HashMap$KeyIterator","26,240 B (0.2%)","656 (0.4%)"
"jdk.internal.org.objectweb.asm.ByteVector","25,344 B (0.2%)","1,056 (0.6%)"
"java.lang.ref.SoftReference[]","22,440 B (0.2%)","330 (0.2%)"
"java.lang.Integer","22,384 B (0.2%)","1,399 (0.8%)"
"jdk.internal.org.objectweb.asm.AnnotationWriter","20,496 B (0.2%)","366 (0.2%)"
"java.lang.invoke.LambdaFormEditor$Transform","19,824 B (0.2%)","354 (0.2%)"
"java.util.ArrayList","19,392 B (0.2%)","808 (0.4%)"
"java.lang.reflect.Constructor","18,480 B (0.1%)","231 (0.1%)"
"java.util.TreeMap$KeyIterator","18,240 B (0.1%)","570 (0.3%)"
"java.util.TreeMap$ValueIterator","18,176 B (0.1%)","568 (0.3%)"
"java.util.ArrayList$Itr","16,544 B (0.1%)","517 (0.3%)"
"java.util.HashMap$EntryIterator","15,880 B (0.1%)","397 (0.2%)"
"java.util.ImmutableCollections$SetN$SetNIterator","15,192 B (0.1%)","633 (0.4%)"
"java.util.stream.ReferencePipeline$Head","14,840 B (0.1%)","265 (0.1%)"
"java.util.ImmutableCollections$Set12$1","14,760 B (0.1%)","615 (0.3%)"
"jdk.internal.org.objectweb.asm.Type","13,792 B (0.1%)","431 (0.2%)"
"javax.management.ImmutableDescriptor","13,632 B (0.1%)","568 (0.3%)"
"java.lang.invoke.ResolvedMethodName","12,744 B (0.1%)","531 (0.3%)"
"jdk.internal.org.objectweb.asm.Frame","12,384 B (0.1%)","258 (0.1%)"
"java.lang.PublicMethods$Key","12,048 B (0.1%)","502 (0.3%)"
"java.lang.PublicMethods$MethodList","12,048 B (0.1%)","502 (0.3%)"
"java.lang.ref.SoftReference","11,800 B (0.1%)","295 (0.2%)"
"java.lang.invoke.MethodTypeForm","11,648 B (0.1%)","208 (0.1%)"
"java.lang.reflect.Method[]","11,528 B (0.1%)","189 (0.1%)"
"java.lang.Class$ReflectionData","10,944 B (0.1%)","171 (0.1%)"
"java.lang.invoke.ClassSpecializer$Factory$1Var","10,656 B (0.1%)","222 (0.1%)"
"java.lang.invoke.LambdaForm$NamedFunction","10,624 B (0.1%)","332 (0.2%)"
"java.util.Optional","10,384 B (0.1%)","649 (0.4%)"
"java.lang.reflect.Field","10,224 B (0.1%)","142 (0.1%)"
"java.util.regex.Matcher","9,936 B (0.1%)","138 (0.1%)"
"java.lang.module.ModuleDescriptor$Exports","9,624 B (0.1%)","401 (0.2%)"
"java.lang.reflect.ProxyGenerator$ConstantPool$IndirectEntry","9,456 B (0.1%)","394 (0.2%)"
"java.util.TreeMap$KeySet","9,120 B (0.1%)","570 (0.3%)"
"java.util.TreeMap$Values","9,088 B (0.1%)","568 (0.3%)"
"java.lang.invoke.InnerClassLambdaMetafactory","8,632 B (0.1%)","83 (0%)"
"java.util.HashSet","8,592 B (0.1%)","537 (0.3%)"
"java.lang.invoke.LambdaForm","8,544 B (0.1%)","178 (0.1%)"
"java.util.TreeMap$EntryIterator","8,448 B (0.1%)","264 (0.1%)"
"sun.security.util.KnownOIDs","7,904 B (0.1%)","247 (0.1%)"
"java.lang.invoke.DirectMethodHandle$Accessor","7,360 B (0.1%)","184 (0.1%)"
"javax.management.Descriptor[]","7,304 B (0.1%)","300 (0.2%)"
"java.util.concurrent.ConcurrentHashMap","6,976 B (0.1%)","109 (0.1%)"
"java.lang.invoke.MethodHandle[]","6,856 B (0.1%)","126 (0.1%)"
"com.sun.management.internal.DiagnosticCommandArgumentInfo","6,400 B (0.1%)","160 (0.1%)"
"java.lang.Byte","6,352 B (0.1%)","397 (0.2%)"
"java.util.ImmutableCollections$Set12","6,288 B (0.1%)","262 (0.1%)"
"java.net.URL","6,080 B (0%)","95 (0.1%)"
"java.lang.module.ModuleDescriptor$Requires","5,984 B (0%)","187 (0.1%)"
"java.lang.invoke.InvokerBytecodeGenerator","5,952 B (0%)","93 (0.1%)"
"jdk.internal.org.objectweb.asm.FieldWriter","5,952 B (0%)","93 (0.1%)"
"java.net.URI","5,920 B (0%)","74 (0%)"
"javax.management.MBeanParameterInfo[]","5,888 B (0%)","248 (0.1%)"
"java.util.HashMap$EntrySet","5,888 B (0%)","368 (0.2%)"
"java.util.KeyValueHolder","5,616 B (0%)","234 (0.1%)"
"java.lang.invoke.MethodHandles$Lookup","5,616 B (0%)","234 (0.1%)"
"short[]","5,432 B (0%)","83 (0%)"
"java.util.stream.ReferencePipeline$2","5,312 B (0%)","83 (0%)"
"java.util.concurrent.ConcurrentHashMap$ValueIterator","5,208 B (0%)","93 (0.1%)"
"java.util.stream.ReferencePipeline$3","5,184 B (0%)","81 (0%)"
"java.util.Arrays$ArrayList","5,112 B (0%)","213 (0.1%)"
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef","5,088 B (0%)","106 (0.1%)"
"java.util.WeakHashMap$Entry","5,080 B (0%)","127 (0.1%)"
"com.sun.jmx.mbeanserver.ConvertingMethod","4,928 B (0%)","154 (0.1%)"
"java.util.stream.ReferencePipeline$7","4,928 B (0%)","77 (0%)"
"javax.management.MBeanOperationInfo","4,880 B (0%)","122 (0.1%)"
"java.lang.invoke.DirectMethodHandle","4,864 B (0%)","152 (0.1%)"
"jdk.internal.org.objectweb.asm.Type[]","4,864 B (0%)","130 (0.1%)"
"javax.management.ObjectName$Property[]","4,856 B (0%)","140 (0.1%)"
"java.lang.Object","4,784 B (0%)","299 (0.2%)"
"java.nio.HeapCharBuffer","4,704 B (0%)","98 (0.1%)"
"java.lang.Object[][]","4,552 B (0%)","5 (0%)"
"java.lang.module.ModuleDescriptor","4,544 B (0%)","71 (0%)"
"java.util.LinkedHashMap","4,480 B (0%)","80 (0%)"
"javax.management.MBeanAttributeInfo[]","4,440 B (0%)","91 (0.1%)"
"java.lang.invoke.LambdaFormEditor","4,352 B (0%)","272 (0.2%)"
"java.util.TreeMap$EntrySet","4,224 B (0%)","264 (0.1%)"
"java.nio.ByteBuffer[]","4,112 B (0%)","1 (0%)"
"java.util.ImmutableCollections$SetN","4,056 B (0%)","169 (0.1%)"
"com.sun.management.internal.DiagnosticCommandInfo","4,032 B (0%)","84 (0%)"
"jdk.internal.module.ServicesCatalog$ServiceProvider","3,984 B (0%)","166 (0.1%)"
"java.lang.Module","3,976 B (0%)","71 (0%)"
"jdk.internal.module.ModuleReferenceImpl","3,976 B (0%)","71 (0%)"
"jdk.internal.module.Builder","3,976 B (0%)","71 (0%)"
"java.lang.invoke.LambdaFormBuffer","3,936 B (0%)","82 (0%)"
"java.util.ImmutableCollections$ListItr","3,872 B (0%)","121 (0.1%)"
"java.util.WeakHashMap$Entry[]","3,856 B (0%)","37 (0%)"
"java.math.BigInteger","3,600 B (0%)","90 (0%)"
"java.util.Arrays$ArrayItr","3,528 B (0%)","147 (0.1%)"
"java.lang.invoke.BoundMethodHandle$Species_L","3,520 B (0%)","110 (0.1%)"
"java.util.stream.FindOps$FindSink$OfRef","3,480 B (0%)","145 (0.1%)"
"java.lang.reflect.Constructor[]","3,408 B (0%)","148 (0.1%)"
"java.lang.ref.WeakReference","3,392 B (0%)","106 (0.1%)"
"java.util.Collections$UnmodifiableSet","3,344 B (0%)","209 (0.1%)"
"java.lang.Thread","3,312 B (0%)","9 (0%)"
"com.sun.jmx.mbeanserver.MXBeanMapping[]","3,304 B (0%)","165 (0.1%)"
"javax.management.openmbean.OpenMBeanAttributeInfoSupport","3,136 B (0%)","49 (0%)"
"java.util.HashMap$KeySet","2,960 B (0%)","185 (0.1%)"
"java.util.Spliterators$IteratorSpliterator","2,920 B (0%)","73 (0%)"
"java.lang.module.ModuleDescriptor$Exports[]","2,872 B (0%)","71 (0%)"
"jdk.internal.reflect.ConstantPool","2,768 B (0%)","173 (0.1%)"
"com.sun.management.internal.DiagnosticCommandImpl$Wrapper","2,688 B (0%)","84 (0%)"
"javax.management.MBeanInfo","2,640 B (0%)","55 (0%)"
"boolean[]","2,584 B (0%)","15 (0%)"
"java.util.concurrent.ConcurrentHashMap$MapEntry","2,544 B (0%)","106 (0.1%)"
"com.sun.jmx.mbeanserver.MBeanAnalyzer$AttrMethods","2,544 B (0%)","106 (0.1%)"
"java.io.ObjectStreamField","2,520 B (0%)","63 (0%)"
"java.security.Provider$ServiceKey","2,496 B (0%)","104 (0.1%)"
"sun.util.locale.LocaleObjectCache$CacheEntry","2,400 B (0%)","50 (0%)"
"java.lang.invoke.ConstantCallSite","2,352 B (0%)","98 (0.1%)"
"java.lang.invoke.MethodHandleNatives$CallSiteContext","2,352 B (0%)","98 (0.1%)"
"java.util.AbstractList$RandomAccessSpliterator","2,304 B (0%)","72 (0%)"
"java.util.Collections$UnmodifiableCollection$1","2,304 B (0%)","96 (0.1%)"
"java.util.ImmutableCollections$List12","2,304 B (0%)","96 (0.1%)"
"java.security.Provider$Service","2,296 B (0%)","41 (0%)"
"java.io.File","2,240 B (0%)","70 (0%)"
"com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference","2,240 B (0%)","70 (0%)"
"javax.management.MBeanOperationInfo[]","2,232 B (0%)","65 (0%)"
"java.lang.invoke.InvokerBytecodeGenerator$CpPatch","2,232 B (0%)","93 (0.1%)"
"java.util.regex.IntHashSet[]","2,208 B (0%)","138 (0.1%)"
"byte[][]","2,168 B (0%)","5 (0%)"
"java.util.concurrent.ConcurrentHashMap$ReservationNode","2,144 B (0%)","67 (0%)"
"java.lang.invoke.LambdaForm$Kind","2,112 B (0%)","66 (0%)"
"sun.security.util.KnownOIDs[]","2,096 B (0%)","2 (0%)"
"com.sun.management.internal.DiagnosticCommandArgumentInfo[]","2,080 B (0%)","84 (0%)"
"java.util.LinkedHashMap$LinkedEntryIterator","2,080 B (0%)","65 (0%)"
"java.lang.module.ModuleDescriptor$Requires[]","2,056 B (0%)","71 (0%)"
"javax.management.MBeanAttributeInfo","2,048 B (0%)","64 (0%)"
"java.lang.invoke.InnerClassLambdaMetafactory$ForwardingMethodGenerator","1,992 B (0%)","83 (0%)"
"java.util.stream.ReferencePipeline$2$1","1,992 B (0%)","83 (0%)"
"java.lang.invoke.InfoFromMemberName","1,992 B (0%)","83 (0%)"
"java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle","1,960 B (0%)","49 (0%)"
"java.util.stream.ReferencePipeline$3$1","1,944 B (0%)","81 (0%)"
"java.time.LocalDateTime","1,920 B (0%)","80 (0%)"
"java.lang.reflect.Type[]","1,880 B (0%)","83 (0%)"
"java.util.concurrent.CopyOnWriteArrayList","1,872 B (0%)","78 (0%)"
"javax.management.ObjectName$Property","1,872 B (0%)","78 (0%)"
"java.util.stream.ReferencePipeline$7$1","1,848 B (0%)","77 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LL","1,800 B (0%)","45 (0%)"
"java.lang.reflect.ProxyGenerator$ConstantPool$ValueEntry","1,792 B (0%)","112 (0.1%)"
"java.util.stream.Streams$StreamBuilderImpl","1,776 B (0%)","74 (0%)"
"sun.reflect.generics.tree.FieldTypeSignature[]","1,752 B (0%)","79 (0%)"
"jdk.internal.reflect.NativeConstructorAccessorImpl","1,728 B (0%)","72 (0%)"
"java.lang.ref.ReferenceQueue","1,728 B (0%)","54 (0%)"
"java.lang.ProcessEnvironment$Variable","1,704 B (0%)","71 (0%)"
"java.lang.module.ModuleFinder$2$$Lambda$15.0x0000000100066040","1,704 B (0%)","71 (0%)"
"java.lang.ProcessEnvironment$Value","1,704 B (0%)","71 (0%)"
"jdk.internal.module.SystemModuleFinders$2","1,704 B (0%)","71 (0%)"
"java.lang.management.ManagementPermission","1,680 B (0%)","70 (0%)"
"java.lang.invoke.SimpleMethodHandle","1,632 B (0%)","51 (0%)"
"java.nio.HeapByteBuffer","1,632 B (0%)","34 (0%)"
"java.lang.module.ModuleDescriptor$Provides","1,632 B (0%)","68 (0%)"
"javax.management.openmbean.OpenType[]","1,560 B (0%)","55 (0%)"
"sun.reflect.generics.tree.TypeArgument[]","1,544 B (0%)","87 (0%)"
"java.lang.module.ModuleDescriptor$Provides[]","1,528 B (0%)","71 (0%)"
"javax.management.ObjectName","1,504 B (0%)","47 (0%)"
"java.util.regex.Pattern","1,496 B (0%)","17 (0%)"
"java.time.LocalDate","1,464 B (0%)","61 (0%)"
"jdk.internal.module.ModuleBootstrap$2","1,464 B (0%)","61 (0%)"
"jdk.internal.module.SystemModuleFinders$SystemModuleReader","1,464 B (0%)","61 (0%)"
"java.lang.module.ResolvedModule","1,464 B (0%)","61 (0%)"
"jdk.internal.loader.BuiltinClassLoader$LoadedModule","1,464 B (0%)","61 (0%)"
"jdk.internal.loader.BuiltinClassLoader$5","1,464 B (0%)","61 (0%)"
"java.time.temporal.ValueRange","1,440 B (0%)","30 (0%)"
"javax.management.MBeanParameterInfo","1,408 B (0%)","44 (0%)"
"javax.management.MBeanServerNotification","1,400 B (0%)","25 (0%)"
"java.lang.invoke.LambdaForm$NamedFunction[]","1,392 B (0%)","29 (0%)"
"sun.reflect.generics.tree.SimpleClassTypeSignature","1,392 B (0%)","58 (0%)"
"java.util.concurrent.ConcurrentHashMap$ForwardingNode","1,344 B (0%)","42 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLL","1,344 B (0%)","28 (0%)"
"java.util.ImmutableCollections$ListN","1,328 B (0%)","83 (0%)"
"java.util.LinkedHashMap$LinkedValueIterator","1,312 B (0%)","41 (0%)"
"java.lang.invoke.VarHandle$AccessMode[]","1,296 B (0%)","9 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLIIL","1,280 B (0%)","20 (0%)"
"java.util.Map$Entry[]","1,256 B (0%)","7 (0%)"
"java.time.zone.ZoneOffsetTransition","1,248 B (0%)","39 (0%)"
"java.util.WeakHashMap","1,248 B (0%)","26 (0%)"
"java.time.temporal.ChronoField","1,200 B (0%)","30 (0%)"
"java.math.BigInteger[]","1,184 B (0%)","38 (0%)"
"java.lang.module.ModuleDescriptor$Opens[]","1,160 B (0%)","71 (0%)"
"java.lang.invoke.InnerClassLambdaMetafactory$1","1,152 B (0%)","48 (0%)"
"java.lang.invoke.BoundMethodHandle$SpeciesData","1,152 B (0%)","24 (0%)"
"jdk.internal.reflect.DelegatingConstructorAccessorImpl","1,152 B (0%)","72 (0%)"
"java.security.Provider$UString","1,152 B (0%)","48 (0%)"
"java.lang.module.ModuleFinder$2$$Lambda$9.0x0000000100064440","1,136 B (0%)","71 (0%)"
"java.lang.Integer[]","1,128 B (0%)","4 (0%)"
"java.security.AccessControlContext","1,120 B (0%)","28 (0%)"
"sun.util.locale.BaseLocale$Key","1,120 B (0%)","35 (0%)"
"sun.util.locale.BaseLocale","1,120 B (0%)","35 (0%)"
"java.util.jar.Attributes$Name","1,080 B (0%)","45 (0%)"
"javax.management.openmbean.ArrayType","1,064 B (0%)","19 (0%)"
"jdk.internal.module.SystemModuleFinders$3","1,056 B (0%)","66 (0%)"
"java.lang.Byte[]","1,040 B (0%)","1 (0%)"
"sun.nio.fs.UnixFileAttributes","1,024 B (0%)","8 (0%)"
"sun.invoke.util.Wrapper[]","1,024 B (0%)","20 (0%)"
"java.lang.annotation.Annotation[][]","1,016 B (0%)","44 (0%)"
"java.lang.invoke.MemberName[]","1,008 B (0%)","7 (0%)"
"java.lang.invoke.VarHandle$AccessMode","992 B (0%)","31 (0%)"
"java.lang.PublicMethods","984 B (0%)","41 (0%)"
"com.sun.jmx.mbeanserver.PerInterface$MethodAndSig","984 B (0%)","41 (0%)"
"java.security.Provider$EngineDescription","960 B (0%)","30 (0%)"
"java.lang.invoke.BoundMethodHandle$SpeciesData[]","960 B (0%)","24 (0%)"
"java.util.regex.Pattern$GroupHead[]","952 B (0%)","17 (0%)"
"java.lang.annotation.Annotation[]","944 B (0%)","59 (0%)"
"java.util.Collections$UnmodifiableRandomAccessList","936 B (0%)","39 (0%)"
"java.util.Hashtable$Entry[]","928 B (0%)","15 (0%)"
"sun.reflect.generics.tree.ClassTypeSignature","928 B (0%)","58 (0%)"
"com.sun.jmx.mbeanserver.MXBeanSupport","920 B (0%)","23 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLL","896 B (0%)","16 (0%)"
"java.lang.ref.ReferenceQueue$Lock","896 B (0%)","56 (0%)"
"java.lang.reflect.ProxyGenerator$ExceptionTableEntry","888 B (0%)","37 (0%)"
"java.io.FileDescriptor","880 B (0%)","22 (0%)"
"double[]","864 B (0%)","11 (0%)"
"sun.nio.fs.UnixPath","864 B (0%)","27 (0%)"
"java.io.DataOutputStream","840 B (0%)","21 (0%)"
"java.util.Collections$SingletonList","840 B (0%)","35 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLL","816 B (0%)","17 (0%)"
"sun.reflect.generics.visitor.Reifier","816 B (0%)","34 (0%)"
"java.lang.reflect.Field[]","808 B (0%)","15 (0%)"
"java.util.Locale","800 B (0%)","25 (0%)"
"javax.management.openmbean.OpenMBeanParameterInfoSupport","784 B (0%)","14 (0%)"
"java.lang.invoke.StringConcatFactory$RecipeElement","768 B (0%)","32 (0%)"
"java.nio.DirectByteBuffer","768 B (0%)","12 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLII","768 B (0%)","12 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping","768 B (0%)","32 (0%)"
"java.util.HashMap$ValueIterator","760 B (0%)","19 (0%)"
"javax.management.openmbean.CompositeType","728 B (0%)","13 (0%)"
"javax.management.MBeanNotificationInfo[]","728 B (0%)","33 (0%)"
"java.lang.reflect.ProxyGenerator$MethodInfo","720 B (0%)","15 (0%)"
"sun.reflect.generics.repository.MethodRepository","720 B (0%)","18 (0%)"
"java.util.concurrent.CopyOnWriteArrayList$COWIterator","720 B (0%)","30 (0%)"
"java.util.Date","720 B (0%)","30 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLL","680 B (0%)","17 (0%)"
"java.util.Hashtable$Entry","672 B (0%)","21 (0%)"
"java.util.Hashtable","672 B (0%)","14 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLI","672 B (0%)","12 (0%)"
"java.util.LinkedHashMap$LinkedValues","656 B (0%)","41 (0%)"
"javax.management.ObjectInstance","648 B (0%)","27 (0%)"
"java.lang.ClassNotFoundException","640 B (0%)","16 (0%)"
"java.lang.invoke.LambdaForm[]","624 B (0%)","3 (0%)"
"sun.reflect.generics.parser.SignatureParser","624 B (0%)","26 (0%)"
"java.util.jar.JarFile$JarFileEntry","624 B (0%)","6 (0%)"
"java.time.LocalTime","624 B (0%)","26 (0%)"
"java.io.FileCleanable","616 B (0%)","11 (0%)"
"sun.reflect.generics.factory.CoreReflectionFactory","600 B (0%)","25 (0%)"
"com.sun.jmx.mbeanserver.NamedObject","600 B (0%)","25 (0%)"
"java.io.ObjectStreamField[]","592 B (0%)","19 (0%)"
"java.util.regex.Pattern$BmpCharProperty","576 B (0%)","24 (0%)"
"java.lang.management.ManagementFactory$$Lambda$58.0x00000001000d6c40","576 B (0%)","24 (0%)"
"sun.reflect.generics.tree.MethodTypeSignature","576 B (0%)","18 (0%)"
"java.util.concurrent.TimeUnit","560 B (0%)","7 (0%)"
"java.util.Collections$SingletonMap","560 B (0%)","14 (0%)"
"java.lang.invoke.LambdaForm$Kind[]","560 B (0%)","2 (0%)"
"jdk.internal.platform.CgroupInfo","560 B (0%)","14 (0%)"
"javax.management.openmbean.SimpleType","560 B (0%)","14 (0%)"
"java.util.logging.LogManager$LoggerWeakRef","528 B (0%)","11 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CompositeMapping","528 B (0%)","11 (0%)"
"com.sun.jmx.mbeanserver.PerInterface","520 B (0%)","13 (0%)"
"java.lang.invoke.DirectMethodHandle$Special","520 B (0%)","13 (0%)"
"java.lang.invoke.VarHandleObjects$FieldInstanceReadWrite","520 B (0%)","13 (0%)"
"java.security.ProtectionDomain","520 B (0%)","13 (0%)"
"java.time.temporal.ChronoUnit","512 B (0%)","16 (0%)"
"java.util.stream.Collectors$CollectorImpl","512 B (0%)","16 (0%)"
"java.util.stream.ReduceOps$3","512 B (0%)","16 (0%)"
"java.util.stream.ReduceOps$3ReducingSink","512 B (0%)","16 (0%)"
"sun.util.resources.Bundles$CacheKey","512 B (0%)","16 (0%)"
"java.lang.RuntimePermission","504 B (0%)","21 (0%)"
"java.util.ServiceLoader","504 B (0%)","9 (0%)"
"java.util.regex.Pattern$BmpCharPropertyGreedy","504 B (0%)","21 (0%)"
"java.util.Collections$SingletonSet","496 B (0%)","31 (0%)"
"java.util.jar.JarFile$1","480 B (0%)","30 (0%)"
"java.lang.reflect.TypeVariable[]","480 B (0%)","20 (0%)"
"java.io.ByteArrayOutputStream","480 B (0%)","20 (0%)"
"java.lang.Class$AnnotationData","480 B (0%)","20 (0%)"
"java.lang.NoSuchMethodError","480 B (0%)","12 (0%)"
"sun.invoke.util.Wrapper","480 B (0%)","10 (0%)"
"sun.management.MemoryPoolImpl","448 B (0%)","8 (0%)"
"java.util.ArrayList$SubList","448 B (0%)","14 (0%)"
"sun.util.calendar.ZoneInfo","448 B (0%)","8 (0%)"
"java.lang.invoke.MethodType[]","448 B (0%)","11 (0%)"
"java.nio.DirectLongBufferU","448 B (0%)","8 (0%)"
"jdk.internal.loader.BuiltinClassLoader$1","448 B (0%)","14 (0%)"
"java.lang.invoke.MethodHandleImpl$AsVarargsCollector","440 B (0%)","11 (0%)"
"java.lang.reflect.ProxyGenerator$ProxyMethod","440 B (0%)","11 (0%)"
"java.security.CodeSource","440 B (0%)","11 (0%)"
"sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl","432 B (0%)","18 (0%)"
"sun.reflect.generics.scope.MethodScope","432 B (0%)","18 (0%)"
"jdk.internal.loader.BuiltinClassLoader$2","432 B (0%)","18 (0%)"
"java.util.LinkedHashMap$LinkedEntrySet","416 B (0%)","26 (0%)"
"java.lang.ThreadLocal$ThreadLocalMap$Entry","416 B (0%)","13 (0%)"
"javax.management.StandardMBean","408 B (0%)","17 (0%)"
"java.lang.invoke.Invokers","408 B (0%)","17 (0%)"
"java.time.Duration","408 B (0%)","17 (0%)"
"javax.management.MBeanConstructorInfo[]","408 B (0%)","21 (0%)"
"java.lang.OutOfMemoryError","400 B (0%)","10 (0%)"
"java.util.StringJoiner","400 B (0%)","10 (0%)"
"java.util.Properties","392 B (0%)","7 (0%)"
"java.nio.file.attribute.FileTime","384 B (0%)","12 (0%)"
"java.util.regex.Pattern$Start","384 B (0%)","16 (0%)"
"sun.security.jca.ProviderConfig","384 B (0%)","12 (0%)"
"java.util.logging.LogManager$LogNode","384 B (0%)","12 (0%)"
"java.util.regex.Pattern$TreeInfo","384 B (0%)","16 (0%)"
"java.lang.ref.Finalizer$FinalizerThread","376 B (0%)","1 (0%)"
"jdk.internal.misc.InnocuousThread","376 B (0%)","1 (0%)"
"java.util.logging.LogManager$Cleaner","376 B (0%)","1 (0%)"
"com.sun.management.internal.DiagnosticCommandInfo[]","368 B (0%)","2 (0%)"
"java.lang.ref.Reference$ReferenceHandler","368 B (0%)","1 (0%)"
"java.util.ServiceLoader$LazyClassPathLookupIterator","360 B (0%)","9 (0%)"
"java.util.HashMap$ValueSpliterator","360 B (0%)","9 (0%)"
"java.util.Collections$1","360 B (0%)","15 (0%)"
"java.util.Collections$2","360 B (0%)","15 (0%)"
"jdk.internal.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl","360 B (0%)","9 (0%)"
"sun.reflect.generics.tree.FormalTypeParameter[]","352 B (0%)","21 (0%)"
"java.lang.reflect.ProxyGenerator$FieldInfo","352 B (0%)","11 (0%)"
"java.time.LocalDateTime[]","344 B (0%)","2 (0%)"
"sun.nio.cs.StreamDecoder","336 B (0%)","7 (0%)"
"java.lang.WeakPairMap$Pair$Lookup","336 B (0%)","14 (0%)"
"java.io.ExpiringCache$Entry","336 B (0%)","14 (0%)"
"sun.reflect.generics.tree.TypeSignature[]","328 B (0%)","18 (0%)"
"java.util.concurrent.ForkJoinPool","328 B (0%)","1 (0%)"
"jdk.internal.loader.URLClassPath$1","320 B (0%)","10 (0%)"
"sun.management.MemoryPoolImpl$CollectionSensor","320 B (0%)","8 (0%)"
"sun.management.MemoryPoolImpl$PoolSensor","320 B (0%)","8 (0%)"
"java.lang.NoSuchMethodException","320 B (0%)","8 (0%)"
"sun.util.locale.LanguageTag","320 B (0%)","8 (0%)"
"java.io.FileInputStream","320 B (0%)","8 (0%)"
"java.lang.invoke.VarHandle$AccessType[]","320 B (0%)","8 (0%)"
"com.sun.jmx.mbeanserver.MBeanAnalyzer","312 B (0%)","13 (0%)"
"java.lang.ClassValue$Entry[]","312 B (0%)","3 (0%)"
"com.sun.jmx.mbeanserver.MBeanIntrospector$MBeanInfoMaker","312 B (0%)","13 (0%)"
"java.lang.module.ModuleReference[]","304 B (0%)","1 (0%)"
"java.lang.module.ModuleDescriptor[]","304 B (0%)","1 (0%)"
"jdk.internal.module.ModuleResolution[]","304 B (0%)","1 (0%)"
"jdk.internal.module.ModuleTarget[]","304 B (0%)","1 (0%)"
"jdk.internal.module.ModuleHashes[]","304 B (0%)","1 (0%)"
"java.lang.Thread[]","296 B (0%)","6 (0%)"
"java.util.Vector","288 B (0%)","9 (0%)"
"java.net.StandardSocketOptions$StdSocketOption","288 B (0%)","12 (0%)"
